,molecule_chembl_id,IC50,units,smiles,pIC50,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled
3620,CHEMBL1834694,8400.0,nM,COc1ccc(NC(=O)Nc2nc3nn(C)cc3c3nc(-c4ccc(Br)cc4)nn23)cc1,5.075720713938118,492.0657838840001,8,2,4.0931000000000015,True
3621,CHEMBL319555,8400.0,nM,Cn1c(=O)c2c(nnn2C2CCCCC2)n(C)c1=O,5.075720713938118,263.138224784,7,0,0.3338999999999994,True
3622,CHEMBL494759,8500.0,nM,Nc1ncnc2c1ncn2C[C@H](O)CO,5.070581074285707,209.091274592,7,3,-1.2383000000000004,True
3623,CHEMBL510907,8500.0,nM,C=CCCn1cnc2c(N)ncnc21,5.070581074285707,189.10144535199998,5,1,0.9845999999999999,True
3624,CHEMBL266094,8500.0,nM,Nc1ncnc2c1ncn2Cc1ccccc1,5.070581074285707,225.10144535199998,5,1,1.4567999999999999,True
3625,CHEMBL574597,8530.0,nM,CNc1nc(C#Cc2ccccc2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,5.069050968832477,381.14370408799994,9,4,-0.12070000000000031,True
3626,CHEMBL3114166,8600.0,nM,O=C(Cc1ccccc1)Nc1nc(Cl)c2cn(CCc3ccccc3)nc2n1,5.065501548756432,391.11998787600004,5,1,3.903600000000001,True
3627,CHEMBL241987,8600.0,nM,O=c1[nH]c2ccccc2c2cn(-c3ccccc3)nc12,5.065501548756432,261.090211972,3,1,2.867000000000001,True
3628,CHEMBL382107,8660.0,nM,Cc1ccc2c(O)c(C(=O)NN3CCOCC3)cnc2n1,5.062482107982653,288.122240372,6,2,0.6208199999999999,True
3629,CHEMBL4103712,8680.0,nM,O[C@@H]1[C@@H](CCl)O[C@@H](n2cnc3c(N[C@@H]4CCOC4)nc(Cl)nc32)[C@@H]1O,5.061480274823508,389.06575938400005,9,3,0.5384999999999995,True
3630,CHEMBL399514,8760.0,nM,CNC(=S)OC[C@H]1O[C@@H](n2cnc3c(NC4CCCC4)nc(Cl)nc32)[C@](C)(O)[C@@H]1O,5.05749589383192,456.13465196,10,4,1.3643999999999992,True
3631,CHEMBL2391839,8780.0,nM,O=C(Nc1nc(-c2ccccc2)c(-c2nc3ccccc3c(=O)[nH]2)s1)c1ccco1,5.056505484093897,414.07866130799994,6,2,4.558900000000003,True
3632,CHEMBL522095,8780.0,nM,C[C@@]1(O)[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(NC3CC4CCC3C4)ncnc21,5.056505484093897,375.1906542800001,9,4,0.42839999999999834,True
